zoom,tile_x,tile_y,scope,variant,repeat,ms,bytes
12,530,361,roads,before,0,271.8,675374
12,530,361,roads,after,0,318.4,675418
12,530,361,roads,fix,0,288.3,675403
12,530,361,roads,after,1,327.6,675885
12,530,361,roads,fix,1,295.4,675292
12,530,361,roads,before,1,290.0,675477
12,530,361,full,after,1,791.9,1215428
12,530,361,full,fix,1,757.4,1215261
12,530,361,full,before,1,629.4,1098195
12,530,361,full,fix,2,781.3,1215390
12,530,361,full,before,2,568.8,1098177
12,530,361,full,after,2,809.9,1215394
12,530,361,roads,fix,2,289.0,675465
12,530,361,roads,before,2,284.0,675324
12,530,361,roads,after,2,335.8,675792
12,530,361,roads,before,3,283.4,675270
12,530,361,roads,after,3,318.8,675444
12,530,361,roads,fix,3,280.7,675288
12,530,361,full,before,3,551.4,1098177
12,530,361,full,after,3,856.8,1215382
12,530,361,full,fix,3,1059.9,1215344
12,530,361,full,after,4,784.3,1215243
12,530,361,full,fix,4,799.1,1215369
12,530,361,full,before,4,673.2,1098152
12,530,361,roads,after,4,409.9,675755
12,530,361,roads,fix,4,270.9,675452
12,530,361,roads,before,4,266.6,675798
12,530,361,roads,fix,5,260.0,675764
12,530,361,roads,before,5,250.2,675780
12,530,361,roads,after,5,302.8,675747
12,530,361,full,fix,5,782.7,1215216
12,530,361,full,before,5,603.5,1098051
12,530,361,full,after,5,781.5,1215180
12,530,361,full,before,6,523.0,1098210
12,530,361,full,after,6,734.1,1215288
12,530,361,full,fix,6,688.5,1215211
12,530,361,roads,before,6,230.1,675741
12,530,361,roads,after,6,262.8,675742
12,530,361,roads,fix,6,234.9,675728
12,530,361,roads,after,7,277.0,675727
12,530,361,roads,fix,7,259.8,675439
12,530,361,roads,before,7,247.0,675756
12,530,361,full,after,7,791.7,1215298
12,530,361,full,fix,7,726.8,1215459
12,530,361,full,before,7,566.9,1098071
12,530,361,full,fix,8,763.5,1215262
12,530,361,full,before,8,596.0,1098158
12,530,361,full,after,8,715.8,1215419
12,530,361,roads,fix,8,227.1,675698
12,530,361,roads,before,8,228.6,675751
12,530,361,roads,after,8,299.5,675785
12,529,362,full,before,0,371.9,649308
12,529,362,full,after,0,462.1,703205
12,529,362,full,fix,0,516.2,703204
12,529,362,roads,before,0,171.9,386044
12,529,362,roads,after,0,210.5,386044
12,529,362,roads,fix,0,179.5,386044
12,529,362,roads,after,1,212.5,386044
12,529,362,roads,fix,1,187.9,386044
12,529,362,roads,before,1,166.6,386044
12,529,362,full,after,1,500.5,703202
12,529,362,full,fix,1,483.9,703203
12,529,362,full,before,1,377.2,649306
12,529,362,full,fix,2,481.0,703207
12,529,362,full,before,2,395.6,649308
12,529,362,full,after,2,504.6,703203
12,529,362,roads,fix,2,156.5,386044
12,529,362,roads,before,2,148.6,386044
12,529,362,roads,after,2,207.8,386044
12,529,362,roads,before,3,160.5,386044
12,529,362,roads,after,3,191.6,386044
12,529,362,roads,fix,3,236.0,386044
12,529,362,full,before,3,521.8,649315
12,529,362,full,after,3,651.9,703200
12,529,362,full,fix,3,639.3,703202
12,529,362,full,after,4,638.4,703139
12,529,362,full,fix,4,543.8,703206
12,529,362,full,before,4,469.9,649308
12,529,362,roads,after,4,239.5,386044
12,529,362,roads,fix,4,188.3,386044
12,529,362,roads,before,4,174.1,386044
12,529,362,roads,fix,5,183.7,386044
12,529,362,roads,before,5,177.2,386044
12,529,362,roads,after,5,214.1,386044
12,529,362,full,fix,5,498.9,703203
12,529,362,full,before,5,397.4,649308
12,529,362,full,after,5,580.8,703204
12,529,362,full,before,6,444.0,649310
12,529,362,full,after,6,511.1,703199
12,529,362,full,fix,6,528.8,703203
12,529,362,roads,before,6,165.0,386044
12,529,362,roads,after,6,186.7,386044
12,529,362,roads,fix,6,169.6,386044
12,529,362,roads,after,7,197.8,386044
12,529,362,roads,fix,7,178.0,386044
12,529,362,roads,before,7,185.9,386044
12,529,362,full,after,7,631.0,703206
12,529,362,full,fix,7,548.2,703203
12,529,362,full,before,7,453.7,649311
12,529,362,full,fix,8,547.1,703205
12,529,362,full,before,8,425.0,649311
12,529,362,full,after,8,528.1,703206
12,529,362,roads,fix,8,202.4,386044
12,529,362,roads,before,8,195.3,386044
12,529,362,roads,after,8,209.7,386044
12,530,362,full,after,0,611.6,507250
12,530,362,full,fix,0,602.0,507281
12,530,362,full,before,0,502.1,479999
12,530,362,roads,after,0,279.0,316840
12,530,362,roads,fix,0,238.6,316852
12,530,362,roads,before,0,246.1,316513
12,530,362,roads,fix,1,253.9,316509
12,530,362,roads,before,1,238.0,316836
12,530,362,roads,after,1,304.3,316872
12,530,362,full,fix,1,617.7,507465
12,530,362,full,before,1,489.1,480195
12,530,362,full,after,1,598.8,507425
12,530,362,full,before,2,548.3,480062
12,530,362,full,after,2,665.3,507145
12,530,362,full,fix,2,582.2,507381
12,530,362,roads,before,2,242.7,316956
12,530,362,roads,after,2,286.7,316495
12,530,362,roads,fix,2,218.2,316703
12,530,362,roads,after,3,281.8,316474
12,530,362,roads,fix,3,235.7,316709
12,530,362,roads,before,3,229.2,316584
12,530,362,full,after,3,610.3,507399
12,530,362,full,fix,3,539.6,507444
12,530,362,full,before,3,467.6,479692
12,530,362,full,fix,4,563.1,507483
12,530,362,full,before,4,492.0,479736
12,530,362,full,after,4,678.6,507415
12,530,362,roads,fix,4,249.4,316781
12,530,362,roads,before,4,236.6,316445
12,530,362,roads,after,4,294.9,316570
12,530,362,roads,before,5,227.4,316619
12,530,362,roads,after,5,282.7,316907
12,530,362,roads,fix,5,259.7,316498
12,530,362,full,before,5,558.9,479865
12,530,362,full,after,5,702.4,507532
12,530,362,full,fix,5,604.2,507372
12,530,362,full,after,6,633.4,507412
12,530,362,full,fix,6,626.5,507431
12,530,362,full,before,6,550.8,480093
12,530,362,roads,after,6,303.3,316848
12,530,362,roads,fix,6,259.0,316504
12,530,362,roads,before,6,238.4,316600
12,530,362,roads,fix,7,228.5,316564
12,530,362,roads,before,7,230.1,316927
12,530,362,roads,after,7,297.2,316788
12,530,362,full,fix,7,618.6,507392
12,530,362,full,before,7,516.0,479795
12,530,362,full,after,7,623.6,507448
12,530,362,full,before,8,472.3,480081
12,530,362,full,after,8,578.9,507415
12,530,362,full,fix,8,600.2,507161
12,530,362,roads,before,8,257.6,316591
12,530,362,roads,after,8,321.1,316810
12,530,362,roads,fix,8,252.0,316577
12,528,363,full,before,0,60.8,32914
12,528,363,full,after,0,79.2,36404
12,528,363,full,fix,0,70.7,36404
12,528,363,roads,before,0,37.4,19568
12,528,363,roads,after,0,47.4,19568
12,528,363,roads,fix,0,48.2,19568
12,528,363,roads,after,1,47.3,19568
12,528,363,roads,fix,1,45.1,19568
12,528,363,roads,before,1,37.9,19568
12,528,363,full,after,1,82.5,36404
12,528,363,full,fix,1,101.4,36404
12,528,363,full,before,1,71.7,32914
12,528,363,full,fix,2,97.5,36404
12,528,363,full,before,2,81.5,32914
12,528,363,full,after,2,96.1,36404
12,528,363,roads,fix,2,54.9,19568
12,528,363,roads,before,2,50.3,19568
12,528,363,roads,after,2,60.8,19568
12,528,363,roads,before,3,47.8,19568
12,528,363,roads,after,3,60.7,19568
12,528,363,roads,fix,3,59.0,19568
12,528,363,full,before,3,83.7,32914
12,528,363,full,after,3,96.0,36404
12,528,363,full,fix,3,89.9,36404
12,528,363,full,after,4,93.9,36404
12,528,363,full,fix,4,104.1,36404
12,528,363,full,before,4,78.8,32914
12,528,363,roads,after,4,60.7,19568
12,528,363,roads,fix,4,64.4,19568
12,528,363,roads,before,4,48.0,19568
12,528,363,roads,fix,5,61.6,19568
12,528,363,roads,before,5,48.8,19568
12,528,363,roads,after,5,56.3,19568
12,528,363,full,fix,5,99.0,36404
12,528,363,full,before,5,67.3,32914
12,528,363,full,after,5,81.9,36404
12,528,363,full,before,6,68.5,32914
12,528,363,full,after,6,85.1,36404
12,528,363,full,fix,6,84.0,36404
12,528,363,roads,before,6,38.6,19568
12,528,363,roads,after,6,49.2,19568
12,528,363,roads,fix,6,46.7,19568
12,528,363,roads,after,7,45.6,19568
12,528,363,roads,fix,7,46.7,19568
12,528,363,roads,before,7,37.0,19568
12,528,363,full,after,7,70.1,36404
12,528,363,full,fix,7,68.9,36404
12,528,363,full,before,7,54.5,32914
12,528,363,full,fix,8,71.4,36404
12,528,363,full,before,8,55.7,32914
12,528,363,full,after,8,78.1,36404
12,528,363,roads,fix,8,46.8,19568
12,528,363,roads,before,8,43.0,19568
12,528,363,roads,after,8,49.0,19568
12,529,363,full,after,0,1011.8,800337
12,529,363,full,fix,0,894.7,800444
12,529,363,full,before,0,634.8,727189
12,529,363,roads,after,0,389.4,467914
12,529,363,roads,fix,0,342.6,467781
12,529,363,roads,before,0,315.2,468030
12,529,363,roads,fix,1,339.9,467688
12,529,363,roads,before,1,311.8,467814
12,529,363,roads,after,1,377.1,468155
12,529,363,full,fix,1,912.9,800396
12,529,363,full,before,1,728.1,727162
12,529,363,full,after,1,969.0,800497
12,529,363,full,before,2,699.5,727402
12,529,363,full,after,2,1101.4,800507
12,529,363,full,fix,2,904.5,800403
12,529,363,roads,before,2,298.1,467720
12,529,363,roads,after,2,392.9,468065
12,529,363,roads,fix,2,336.6,468103
12,529,363,roads,after,3,450.3,467714
12,529,363,roads,fix,3,404.8,467745
12,529,363,roads,before,3,424.8,467622
12,529,363,full,after,3,1316.4,800346
12,529,363,full,fix,3,1273.1,800426
12,529,363,full,before,3,827.9,727383
12,529,363,full,fix,4,928.5,800454
12,529,363,full,before,4,756.1,727310
12,529,363,full,after,4,1057.1,800461
12,529,363,roads,fix,4,333.5,467853
12,529,363,roads,before,4,325.2,468010
12,529,363,roads,after,4,434.3,467816
12,529,363,roads,before,5,335.7,467874
12,529,363,roads,after,5,463.0,467879
12,529,363,roads,fix,5,370.2,468045
12,529,363,full,before,5,647.7,727309
12,529,363,full,after,5,1019.2,800469
12,529,363,full,fix,5,1028.1,800425
12,529,363,full,after,6,1025.2,800550
12,529,363,full,fix,6,1037.7,800405
12,529,363,full,before,6,765.6,727211
12,529,363,roads,after,6,374.1,467897
12,529,363,roads,fix,6,305.4,467813
12,529,363,roads,before,6,291.7,467827
12,529,363,roads,fix,7,336.7,467925
12,529,363,roads,before,7,343.5,468334
12,529,363,roads,after,7,418.8,467525
12,529,363,full,fix,7,936.6,800456
12,529,363,full,before,7,724.9,727212
12,529,363,full,after,7,1084.4,800504
12,529,363,full,before,8,700.8,727308
12,529,363,full,after,8,970.0,800493
12,529,363,full,fix,8,1000.7,800468
12,529,363,roads,before,8,351.5,467807
12,529,363,roads,after,8,407.1,467924
12,529,363,roads,fix,8,313.2,467802
14,2117,1451,full,after,0,517.5,349831
14,2117,1451,full,fix,0,498.9,349831
14,2117,1451,full,before,0,201.0,312363
14,2117,1451,roads,after,0,132.8,194338
14,2117,1451,roads,fix,0,130.7,194338
14,2117,1451,roads,before,0,114.9,192369
14,2117,1451,roads,fix,1,133.8,194338
14,2117,1451,roads,before,1,122.0,192369
14,2117,1451,roads,after,1,130.7,194338
14,2117,1451,full,fix,1,435.4,349831
14,2117,1451,full,before,1,193.4,312363
14,2117,1451,full,after,1,434.7,349831
14,2117,1451,full,before,2,291.2,312363
14,2117,1451,full,after,2,454.7,349831
14,2117,1451,full,fix,2,463.5,349831
14,2117,1451,roads,before,2,110.9,192369
14,2117,1451,roads,after,2,133.6,194338
14,2117,1451,roads,fix,2,126.3,194338
14,2117,1451,roads,after,3,155.3,194338
14,2117,1451,roads,fix,3,120.5,194338
14,2117,1451,roads,before,3,107.1,192369
14,2117,1451,full,after,3,423.9,349831
14,2117,1451,full,fix,3,416.8,349831
14,2117,1451,full,before,3,193.3,312363
14,2117,1451,full,fix,4,538.7,349831
14,2117,1451,full,before,4,250.1,312363
14,2117,1451,full,after,4,536.9,349831
14,2117,1451,roads,fix,4,153.1,194338
14,2117,1451,roads,before,4,122.6,192369
14,2117,1451,roads,after,4,148.1,194338
14,2117,1451,roads,before,5,106.0,192369
14,2117,1451,roads,after,5,126.0,194338
14,2117,1451,roads,fix,5,125.3,194338
14,2117,1451,full,before,5,192.8,312363
14,2117,1451,full,after,5,455.4,349831
14,2117,1451,full,fix,5,470.3,349831
14,2117,1451,full,after,6,485.8,349831
14,2117,1451,full,fix,6,506.2,349831
14,2117,1451,full,before,6,226.8,312363
14,2117,1451,roads,after,6,139.5,194338
14,2117,1451,roads,fix,6,119.7,194338
14,2117,1451,roads,before,6,110.5,192369
14,2117,1451,roads,fix,7,113.4,194338
14,2117,1451,roads,before,7,95.9,192369
14,2117,1451,roads,after,7,117.5,194338
14,2117,1451,full,fix,7,454.7,349831
14,2117,1451,full,before,7,190.2,312363
14,2117,1451,full,after,7,509.0,349831
14,2117,1451,full,before,8,222.5,312363
14,2117,1451,full,after,8,483.8,349831
14,2117,1451,full,fix,8,488.9,349831
14,2117,1451,roads,before,8,118.0,192369
14,2117,1451,roads,after,8,135.4,194338
14,2117,1451,roads,fix,8,120.5,194338
14,2118,1451,full,fix,0,690.8,608202
14,2118,1451,full,before,0,423.9,545061
14,2118,1451,full,after,0,707.3,608202
14,2118,1451,roads,fix,0,172.9,324126
14,2118,1451,roads,before,0,155.1,358060
14,2118,1451,roads,after,0,170.8,324126
14,2118,1451,roads,before,1,145.5,358060
14,2118,1451,roads,after,1,183.4,324126
14,2118,1451,roads,fix,1,147.8,324126
14,2118,1451,full,before,1,418.7,545061
14,2118,1451,full,after,1,707.7,608202
14,2118,1451,full,fix,1,643.1,608202
14,2118,1451,full,after,2,611.8,608202
14,2118,1451,full,fix,2,630.6,608202
14,2118,1451,full,before,2,335.7,545061
14,2118,1451,roads,after,2,171.8,324126
14,2118,1451,roads,fix,2,150.8,324126
14,2118,1451,roads,before,2,148.0,358060
14,2118,1451,roads,fix,3,160.1,324126
14,2118,1451,roads,before,3,142.1,358060
14,2118,1451,roads,after,3,167.6,324126
14,2118,1451,full,fix,3,607.3,608202
14,2118,1451,full,before,3,334.4,545061
14,2118,1451,full,after,3,671.9,608202
14,2118,1451,full,before,4,348.4,545061
14,2118,1451,full,after,4,773.6,608202
14,2118,1451,full,fix,4,911.6,608202
14,2118,1451,roads,before,4,187.0,358060
14,2118,1451,roads,after,4,223.7,324126
14,2118,1451,roads,fix,4,218.2,324126
14,2118,1451,roads,after,5,302.0,324126
14,2118,1451,roads,fix,5,208.3,324126
14,2118,1451,roads,before,5,184.4,358060
14,2118,1451,full,after,5,840.7,608202
14,2118,1451,full,fix,5,642.7,608202
14,2118,1451,full,before,5,317.9,545061
14,2118,1451,full,fix,6,591.1,608202
14,2118,1451,full,before,6,369.7,545061
14,2118,1451,full,after,6,693.1,608202
14,2118,1451,roads,fix,6,148.5,324126
14,2118,1451,roads,before,6,137.9,358060
14,2118,1451,roads,after,6,182.7,324126
14,2118,1451,roads,before,7,154.0,358060
14,2118,1451,roads,after,7,157.5,324126
14,2118,1451,roads,fix,7,139.1,324126
14,2118,1451,full,before,7,317.9,545061
14,2118,1451,full,after,7,589.3,608202
14,2118,1451,full,fix,7,578.1,608202
14,2118,1451,full,after,8,714.0,608202
14,2118,1451,full,fix,8,621.3,608202
14,2118,1451,full,before,8,338.8,545061
14,2118,1451,roads,after,8,176.9,324126
14,2118,1451,roads,fix,8,134.9,324126
14,2118,1451,roads,before,8,143.1,358060
14,2117,1452,full,fix,0,715.4,450942
14,2117,1452,full,before,0,316.8,397359
14,2117,1452,full,after,0,621.7,450942
14,2117,1452,roads,fix,0,116.8,232857
14,2117,1452,roads,before,0,116.9,233031
14,2117,1452,roads,after,0,169.1,232857
14,2117,1452,roads,before,1,138.0,233031
14,2117,1452,roads,after,1,163.6,232857
14,2117,1452,roads,fix,1,131.6,232857
14,2117,1452,full,before,1,349.5,397359
14,2117,1452,full,after,1,710.0,450942
14,2117,1452,full,fix,1,568.3,450942
14,2117,1452,full,after,2,595.8,450942
14,2117,1452,full,fix,2,644.1,450942
14,2117,1452,full,before,2,300.3,397359
14,2117,1452,roads,after,2,144.8,232857
14,2117,1452,roads,fix,2,138.5,232857
14,2117,1452,roads,before,2,114.8,233031
14,2117,1452,roads,fix,3,126.4,232857
14,2117,1452,roads,before,3,117.3,233031
14,2117,1452,roads,after,3,148.2,232857
14,2117,1452,full,fix,3,530.3,450942
14,2117,1452,full,before,3,261.9,397359
14,2117,1452,full,after,3,551.9,450942
14,2117,1452,full,before,4,282.4,397359
14,2117,1452,full,after,4,598.6,450942
14,2117,1452,full,fix,4,631.2,450942
14,2117,1452,roads,before,4,109.4,233031
14,2117,1452,roads,after,4,141.0,232857
14,2117,1452,roads,fix,4,142.4,232857
14,2117,1452,roads,after,5,142.4,232857
14,2117,1452,roads,fix,5,128.3,232857
14,2117,1452,roads,before,5,121.2,233031
14,2117,1452,full,after,5,679.6,450942
14,2117,1452,full,fix,5,847.9,450942
14,2117,1452,full,before,5,394.4,397359
14,2117,1452,full,fix,6,756.1,450942
14,2117,1452,full,before,6,359.4,397359
14,2117,1452,full,after,6,643.8,450942
14,2117,1452,roads,fix,6,119.7,232857
14,2117,1452,roads,before,6,119.1,233031
14,2117,1452,roads,after,6,144.3,232857
14,2117,1452,roads,before,7,122.2,233031
14,2117,1452,roads,after,7,151.2,232857
14,2117,1452,roads,fix,7,121.3,232857
14,2117,1452,full,before,7,350.3,397359
14,2117,1452,full,after,7,719.6,450942
14,2117,1452,full,fix,7,685.7,450942
14,2117,1452,full,after,8,630.7,450942
14,2117,1452,full,fix,8,590.7,450942
14,2117,1452,full,before,8,329.4,397359
14,2117,1452,roads,after,8,187.5,232857
14,2117,1452,roads,fix,8,123.3,232857
14,2117,1452,roads,before,8,105.3,233031
14,2118,1452,full,before,0,333.8,474570
14,2118,1452,full,after,0,695.4,481059
14,2118,1452,full,fix,0,590.6,481059
14,2118,1452,roads,before,0,129.9,314146
14,2118,1452,roads,after,0,191.0,264722
14,2118,1452,roads,fix,0,136.6,264722
14,2118,1452,roads,after,1,206.6,264722
14,2118,1452,roads,fix,1,156.3,264722
14,2118,1452,roads,before,1,185.1,314146
14,2118,1452,full,after,1,896.4,481059
14,2118,1452,full,fix,1,795.1,481059
14,2118,1452,full,before,1,344.8,474570
14,2118,1452,full,fix,2,598.4,481059
14,2118,1452,full,before,2,341.6,474570
14,2118,1452,full,after,2,705.3,481059
14,2118,1452,roads,fix,2,150.5,264722
14,2118,1452,roads,before,2,145.6,314146
14,2118,1452,roads,after,2,211.5,264722
14,2118,1452,roads,before,3,142.2,314146
14,2118,1452,roads,after,3,191.1,264722
14,2118,1452,roads,fix,3,140.9,264722
14,2118,1452,full,before,3,329.0,474570
14,2118,1452,full,after,3,702.4,481059
14,2118,1452,full,fix,3,666.5,481059
14,2118,1452,full,after,4,730.2,481059
14,2118,1452,full,fix,4,607.2,481059
14,2118,1452,full,before,4,316.3,474570
14,2118,1452,roads,after,4,179.2,264722
14,2118,1452,roads,fix,4,139.7,264722
14,2118,1452,roads,before,4,132.6,314146
14,2118,1452,roads,fix,5,154.1,264722
14,2118,1452,roads,before,5,135.6,314146
14,2118,1452,roads,after,5,200.3,264722
14,2118,1452,full,fix,5,681.4,481059
14,2118,1452,full,before,5,344.6,474570
14,2118,1452,full,after,5,719.5,481059
14,2118,1452,full,before,6,322.0,474570
14,2118,1452,full,after,6,853.1,481059
14,2118,1452,full,fix,6,771.3,481059
14,2118,1452,roads,before,6,172.8,314146
14,2118,1452,roads,after,6,216.0,264722
14,2118,1452,roads,fix,6,154.6,264722
14,2118,1452,roads,after,7,197.6,264722
14,2118,1452,roads,fix,7,153.1,264722
14,2118,1452,roads,before,7,131.3,314146
14,2118,1452,full,after,7,703.1,481059
14,2118,1452,full,fix,7,659.1,481059
14,2118,1452,full,before,7,353.6,474570
14,2118,1452,full,fix,8,656.4,481059
14,2118,1452,full,before,8,354.3,474570
14,2118,1452,full,after,8,660.6,481059
14,2118,1452,roads,fix,8,143.5,264722
14,2118,1452,roads,before,8,145.4,314146
14,2118,1452,roads,after,8,236.9,264722
14,2115,1453,full,after,0,333.8,48322
14,2115,1453,full,fix,0,351.6,48322
14,2115,1453,full,before,0,75.1,41790
14,2115,1453,roads,after,0,65.6,26552
14,2115,1453,roads,fix,0,62.8,26552
14,2115,1453,roads,before,0,51.1,26552
14,2115,1453,roads,fix,1,65.0,26552
14,2115,1453,roads,before,1,60.2,26552
14,2115,1453,roads,after,1,64.3,26552
14,2115,1453,full,fix,1,330.6,48322
14,2115,1453,full,before,1,58.9,41790
14,2115,1453,full,after,1,287.8,48322
14,2115,1453,full,before,2,55.6,41790
14,2115,1453,full,after,2,301.7,48322
14,2115,1453,full,fix,2,287.8,48322
14,2115,1453,roads,before,2,39.1,26552
14,2115,1453,roads,after,2,45.6,26552
14,2115,1453,roads,fix,2,45.3,26552
14,2115,1453,roads,after,3,48.2,26552
14,2115,1453,roads,fix,3,45.5,26552
14,2115,1453,roads,before,3,41.0,26552
14,2115,1453,full,after,3,295.1,48322
14,2115,1453,full,fix,3,289.0,48322
14,2115,1453,full,before,3,61.5,41790
14,2115,1453,full,fix,4,302.8,48322
14,2115,1453,full,before,4,70.0,41790
14,2115,1453,full,after,4,311.0,48322
14,2115,1453,roads,fix,4,56.2,26552
14,2115,1453,roads,before,4,44.9,26552
14,2115,1453,roads,after,4,59.7,26552
14,2115,1453,roads,before,5,48.6,26552
14,2115,1453,roads,after,5,51.5,26552
14,2115,1453,roads,fix,5,56.6,26552
14,2115,1453,full,before,5,68.4,41790
14,2115,1453,full,after,5,341.0,48322
14,2115,1453,full,fix,5,349.4,48322
14,2115,1453,full,after,6,338.0,48322
14,2115,1453,full,fix,6,314.6,48322
14,2115,1453,full,before,6,56.9,41790
14,2115,1453,roads,after,6,48.3,26552
14,2115,1453,roads,fix,6,43.5,26552
14,2115,1453,roads,before,6,39.1,26552
14,2115,1453,roads,fix,7,45.0,26552
14,2115,1453,roads,before,7,38.1,26552
14,2115,1453,roads,after,7,48.5,26552
14,2115,1453,full,fix,7,316.9,48322
14,2115,1453,full,before,7,62.3,41790
14,2115,1453,full,after,7,350.4,48322
14,2115,1453,full,before,8,66.6,41790
14,2115,1453,full,after,8,331.3,48322
14,2115,1453,full,fix,8,319.0,48322
14,2115,1453,roads,before,8,44.9,26552
14,2115,1453,roads,after,8,51.8,26552
14,2115,1453,roads,fix,8,55.1,26552
14,2116,1453,full,fix,0,578.1,566495
14,2116,1453,full,before,0,305.2,490005
14,2116,1453,full,after,0,638.1,566495
14,2116,1453,roads,fix,0,130.0,291175
14,2116,1453,roads,before,0,126.4,300100
14,2116,1453,roads,after,0,188.0,291175
14,2116,1453,roads,before,1,148.6,300100
14,2116,1453,roads,after,1,193.9,291175
14,2116,1453,roads,fix,1,156.5,291175
14,2116,1453,full,before,1,370.6,490005
14,2116,1453,full,after,1,769.6,566495
14,2116,1453,full,fix,1,817.7,566495
14,2116,1453,full,after,2,788.9,566495
14,2116,1453,full,fix,2,690.6,566495
14,2116,1453,full,before,2,303.5,490005
14,2116,1453,roads,after,2,193.8,291175
14,2116,1453,roads,fix,2,150.3,291175
14,2116,1453,roads,before,2,135.9,300100
14,2116,1453,roads,fix,3,148.6,291175
14,2116,1453,roads,before,3,154.7,300100
14,2116,1453,roads,after,3,174.7,291175
14,2116,1453,full,fix,3,604.2,566495
14,2116,1453,full,before,3,314.4,490005
14,2116,1453,full,after,3,615.9,566495
14,2116,1453,full,before,4,315.8,490005
14,2116,1453,full,after,4,695.4,566495
14,2116,1453,full,fix,4,673.2,566495
14,2116,1453,roads,before,4,153.9,300100
14,2116,1453,roads,after,4,184.9,291175
14,2116,1453,roads,fix,4,134.7,291175
14,2116,1453,roads,after,5,151.3,291175
14,2116,1453,roads,fix,5,141.8,291175
14,2116,1453,roads,before,5,127.9,300100
14,2116,1453,full,after,5,656.5,566495
14,2116,1453,full,fix,5,631.4,566495
14,2116,1453,full,before,5,321.1,490005
14,2116,1453,full,fix,6,653.4,566495
14,2116,1453,full,before,6,336.6,490005
14,2116,1453,full,after,6,683.6,566495
14,2116,1453,roads,fix,6,147.8,291175
14,2116,1453,roads,before,6,144.2,300100
14,2116,1453,roads,after,6,239.6,291175
14,2116,1453,roads,before,7,171.9,300100
14,2116,1453,roads,after,7,209.8,291175
14,2116,1453,roads,fix,7,162.1,291175
14,2116,1453,full,before,7,351.2,490005
14,2116,1453,full,after,7,724.3,566495
14,2116,1453,full,fix,7,621.5,566495
14,2116,1453,full,after,8,612.3,566495
14,2116,1453,full,fix,8,585.7,566495
14,2116,1453,full,before,8,303.0,490005
14,2116,1453,roads,after,8,156.0,291175
14,2116,1453,roads,fix,8,138.0,291175
14,2116,1453,roads,before,8,127.3,300100
14,2117,1453,full,before,0,534.5,1178234
14,2117,1453,full,after,0,953.3,1279386
14,2117,1453,full,fix,0,809.5,1279386
14,2117,1453,roads,before,0,279.4,778418
14,2117,1453,roads,after,0,446.6,722369
14,2117,1453,roads,fix,0,301.8,722369
14,2117,1453,roads,after,1,433.3,722369
14,2117,1453,roads,fix,1,271.0,722369
14,2117,1453,roads,before,1,252.3,778418
14,2117,1453,full,after,1,1010.0,1279386
14,2117,1453,full,fix,1,834.4,1279386
14,2117,1453,full,before,1,502.4,1178234
14,2117,1453,full,fix,2,781.1,1279386
14,2117,1453,full,before,2,542.5,1178234
14,2117,1453,full,after,2,988.7,1279386
14,2117,1453,roads,fix,2,273.8,722369
14,2117,1453,roads,before,2,252.0,778418
